DialogID,NpcID,SkinID,AnimType,FacialType,DialogType,AudioName,KOR,KOR_LineSpace,KOR_CharSpace,ENG,ENG_LineSpace,ENG_CharSpace,JP,JP_LineSpace,JP_CharSpace,ZH_CHT,ZH_CHT_LineSpace,ZH_CHT_CharSpace,ZH_CHS,ZH_CHS_LineSpace,ZH_CHS_CharSpace,row_index,record_offset
14,1002,0,0,0,17,Kokomi/Voice_Kokomi_Hello_1,"안녕하세요, 마스터! 오늘도 같이 힘내봐요!",0.0,0.0,"Hello, Master! Let’s do our best today too!",0.0,0.0,こんにちは、マスター！今日も一緒に頑張りましょう！,0.0,0.0,你好啊！大師！今天也一起加油吧！,0.0,0.0,你好啊！大师！今天也一起加油吧！,0.0,0.0,13,28620
15,1002,0,0,0,0,Kokomi/Voice_Kokomi_Effect_4,"다녀오세요, 주인님!",0.0,0.0,"Come back soon, Guest!",0.0,0.0,いってらっしゃいませ、ご主人様！,0.0,0.0,請慢用！,0.0,0.0,请慢用！,0.0,0.0,14,29016
16,1002,0,0,0,16,Kokomi/Voice_KokomiBasic_Complete_1,맛있게 드세요!,0.0,0.0,Enjoy your meal!,0.0,0.0,お召し上がりください！,0.0,0.0,這是我們咖啡廳的特色菜單！,0.0,0.0,这是我们咖啡厅的特色菜单！,0.0,0.0,15,29256
17,1002,0,0,0,16,Kokomi/Voice_KokomiBasic_Complete_2,코코미만의 특별한 메뉴가 나왔어요!,0.0,0.0,Kokomi's very own special menu is out!,0.0,0.0,ココミだけの特別なメニューが出ましたよ！,0.0,0.0,天氣很暖和讓人心情很好呢-,0.0,0.0,天气很暖和让人心情很好呢-,0.0,0.0,16,29532
18,1002,0,0,0,6,Kokomi/Voice_KokomiBasic_In_1,날씨가 따뜻해서\n기분이 좋네요-,0.0,0.0,The weather is warm today. so I'm feeling great!,0.0,0.0,天気がよくて気分がいいですねー。,0.0,0.0,啦啦-♬把咖啡廳-打掃乾淨-♬,0.0,0.0,啦啦-♬把咖啡厅-打扫干净-♬,0.0,0.0,17,29888
19,1002,0,0,0,6,Kokomi/Voice_KokomiBasic_In_2,흠흥-♬\n카페를-깨끗이-♬,0.0,0.0,Hmm-hmm-♬ Cleaning the cafe-♬,0.0,0.0,ふんふんー♬ カフェをーきれいにー♬,0.0,0.0,休息一下再繼續工作吧！,0.0,0.0,休息一下再继续工作吧！,0.0,0.0,18,30228
20,1002,0,0,0,6,Kokomi/Voice_Kokomi_Effect_4,일도 쉬엄쉬엄 해요-,0.0,0.0,Take it easy while you work!,0.0,0.0,お仕事も休みながらしましょうー。,0.0,0.0,又熱……又冰……？,0.0,0.0,又热……又冰……？,0.0,0.0,19,30544
21,1002,0,0,0,6,Kokomi/Voice_Kokomi_Effect_3_2,따뜻한데…아이스…?,0.0,0.0,It's warm… but you're getting iced…?,0.0,0.0,温かいのに…アイス…？,0.0,0.0,請問要點餐了嗎？,0.0,0.0,请问要点餐了吗？,0.0,0.0,20,30820
22,1002,0,0,0,6,Kokomi/Voice_Kokomi_Effect_4,주문받겠습니다!,0.0,0.0,I'll take your order!,0.0,0.0,ご注文を承りますね！,0.0,0.0,這次的菜單……,0.0,0.0,这次的菜单……,0.0,0.0,21,31092
23,1002,0,0,0,6,Kokomi/Voice_Kokomi_Effect_4,이번 메뉴는-,0.0,0.0,Here’s today's special menu!,0.0,0.0,今回のメニューはー,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,22,31336
24,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_In_1,날씨가 따뜻해서\n기분이 좋네요-,0.0,0.0,The weather is warm today. so I'm feeling great!,0.0,0.0,天気がよくて気分がいいですねー。,0.0,0.0,啦啦-♬把咖啡廳-打掃乾淨-♬,0.0,0.0,啦啦-♬把咖啡厅-打扫干净-♬,0.0,0.0,23,31580
25,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_In_2,흠흥-♬\n카페를-깨끗이-♬,0.0,0.0,Hmm-hmm-♬ Cleaning the cafe-♬,0.0,0.0,ふんふんー♬ カフェをーきれいにー♬,0.0,0.0,休息一下再繼續工作吧！,0.0,0.0,休息一下再继续工作吧！,0.0,0.0,24,31920
26,1002,0,0,0,7,Kokomi/Voice_Kokomi_Effect_4,일도 쉬엄쉬엄 해요-,0.0,0.0,Take it easy while you work!,0.0,0.0,お仕事も休みながらしましょうー。,0.0,0.0,又熱……又冰……？,0.0,0.0,又热……又冰……？,0.0,0.0,25,32236
27,1002,0,0,0,7,Kokomi/Voice_Kokomi_Effect_3_2,따뜻한데…아이스…?,0.0,0.0,It's warm… but you're getting iced…?,0.0,0.0,温かいのに…アイス…？,0.0,0.0,請問要點餐了嗎？,0.0,0.0,请问要点餐了吗？,0.0,0.0,26,32512
28,1002,0,0,0,7,Kokomi/Voice_Kokomi_Effect_4,주문받겠습니다!,0.0,0.0,I'll take your order!,0.0,0.0,ご注文を承りますね！,0.0,0.0,這次的菜單……,0.0,0.0,这次的菜单……,0.0,0.0,27,32784
29,1002,0,0,0,7,Kokomi/Voice_Kokomi_Effect_4,이번 메뉴는-,0.0,0.0,Here’s today's special menu!,0.0,0.0,今回のメニューはー,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,28,33028
30,1002,0,0,0,7,Kokomi/Voice_Kokomi_Effect_4,계산해 드릴까요?,0.0,0.0,Shall I get the bill for you?,0.0,0.0,お会計ですか？,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,29,33272
31,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_4,언제나 최고의\n서비스를\n제공하겠어요!,0.0,0.0,We’ll always provide the best service!,0.0,0.0,いつでも最高のサービスを提供します！,0.0,0.0,我會隨時提供最棒的服務！,0.0,0.0,我会随时提供最棒的服务！,0.0,0.0,30,33516
32,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_5,청소 힘들어…힝…….,0.0,0.0,Cleaning is so hard… Hmph…,0.0,0.0,掃除が大変…ううっ……。,0.0,0.0,打掃好累喔……嗚……,0.0,0.0,打扫好累喔……呜……,0.0,0.0,31,33860
33,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_1,메이드는 귀여움이 생명!,0.0,0.0,Being cute is a maid’s lifeline!,0.0,0.0,メイドは可愛さが命！,0.0,0.0,可愛對女僕來說就是生命！,0.0,0.0,可爱对女仆来说就是生命！,0.0,0.0,32,34144
34,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_2,맛있어져라-♪\n맛있어져라-♪,0.0,0.0,Tastes better-♪ Tastes better-♪,0.0,0.0,美味しくなれー♪ 美味しくなれー♪,0.0,0.0,變好吃吧-♪變好吃吧-♪,0.0,0.0,变好吃吧-♪变好吃吧-♪,0.0,0.0,33,34440
35,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_6,언제나 웃는 얼굴로!,0.0,0.0,Always with a smile!,0.0,0.0,いつでも笑顔で！,0.0,0.0,總是面帶微笑！,0.0,0.0,总是面带微笑！,0.0,0.0,34,34752
36,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_3,저도 잘할 수 있어요!,0.0,0.0,I can do it well too!,0.0,0.0,私も上手にできますよ！,0.0,0.0,我也能做得很好！,0.0,0.0,我也能做得很好！,0.0,0.0,35,34992
37,1002,0,0,0,7,Kokomi/Voice_KokomiBasic_Out_7,"후후후, 아쿠는\n내가 없으면\n안 된다니깐?",0.0,0.0,"Hehe, Aku can’t do anything without me!",0.0,0.0,うふふ、アクは私がいないとダメなんだから！,0.0,0.0,呵呵呵，阿久沒有我可不行呢？,0.0,0.0,呵呵呵，阿久没有我可不行呢？,0.0,0.0,36,35248
38,1002,0,0,0,15,,주문을 받아볼까요!,0.0,0.0,Shall we take an order!,0.0,0.0,ご注文を取ってみましょう！,0.0,0.0,來點餐吧！,0.0,0.0,来点餐吧！,0.0,0.0,37,35624
39,1002,0,0,0,15,,오늘은 어떤 걸\n만들까요?,0.0,0.0,What should we make today?,0.0,0.0,今日は何を作ればいいでしょうか？,0.0,0.0,今天要做些什麼好呢？,0.0,0.0,今天要做些什么好呢？,0.0,0.0,38,35836
40,1002,0,0,0,15,,오늘도 힘차게\n일을 해볼까요!,0.0,0.0,Shall we work energetically again today!,0.0,0.0,今日も張り切って働きましょう！,0.0,0.0,今天也充滿幹勁努力工作吧！,0.0,0.0,今天也充满干劲努力工作吧！,0.0,0.0,39,36100
41,1002,0,0,0,15,,카페에 달콤한 냄새가\n가득차도록 만들거예요!,0.0,0.0,We'll make the cafe filled with a sweet aroma!,0.0,0.0,甘いにおいでいっぱいなカフェにします！,0.0,0.0,要讓整間咖啡廳都充滿甜蜜香氣！,0.0,0.0,要让整间咖啡厅都充满甜蜜香气！,0.0,0.0,40,36400
42,1002,0,0,0,15,,오늘은 어떤 주문이\n들어올까요?,0.0,0.0,What kind of order will we receive today?,0.0,0.0,今日はどんな注文があるでしょう。,0.0,0.0,今天客人會點什麼呢？,0.0,0.0,今天客人会点什么呢？,0.0,0.0,41,36756
43,1002,0,7,2,19,Kokomi/Voice_Kokomi_Effect_1,와아-! 제가 이걸 좋아하는 건 어떻게 아시고…평생 간직할게요!,0.0,0.0,Wow–! How did you know I’d love this…? I’ll treasure it forever!,0.0,0.0,わあー！私の好きなものがどうやって分かったんですか…？一生大事にします！,0.0,0.0,哇-！怎麼知道我喜歡這個……我會珍惜一輩子的！,0.0,0.0,哇-！怎么知道我喜欢这个……我会珍惜一辈子的！,0.0,0.0,42,37044
44,1002,0,14,7,8,Kokomi/Voice_Kokomi_Like_1,"그, 그런! 부끄러운 말…하지 마세요…",0.0,0.0,T-That! Don’t say such embarrassing things…,0.0,0.0,そ、そんな！恥ずかしいこと…言わないでください…,0.0,0.0,請、請不要說那種……讓人害羞的話……,0.0,0.0,请、请不要说那种……让人害羞的话……,0.0,0.0,43,37564
45,1002,0,14,2,8,Kokomi/Voice_Kokomi_Like_2,마스터! 우리 맛있는 거 먹으러 갈래요?,0.0,0.0,Master! Shall we go eat something delicious?,0.0,0.0,マスター！一緒に美味しい物食べに行きませんか？,0.0,0.0,大師！我們去吃點好吃的吧？,0.0,0.0,大师！我们去吃点好吃的吧？,0.0,0.0,44,37964
46,1002,0,10,5,8,Kokomi/Voice_Kokomi_Like_3,마스터-놀아주세요-네?,0.0,0.0,"Master, play with me, okay?",0.0,0.0,マスター、遊んでくださいよー,0.0,0.0,大師……陪我玩……好嗎？,0.0,0.0,大师……陪我玩……好吗？,0.0,0.0,45,38328
47,1002,0,1,1,8,Kokomi/Voice_Kokomi_Hello_1,"안녕하세요, 마스터! 오늘도 같이 힘내봐요!",0.0,0.0,"Hello, Master! Let’s do our best today too!",0.0,0.0,こんにちは、マスター！今日も一緒に頑張りましょう！,0.0,0.0,你好啊！大師！今天也一起加油吧！,0.0,0.0,你好啊！大师！今天也一起加油吧！,0.0,0.0,46,38620
48,1002,0,14,8,8,Kokomi/Voice_Kokomi_Hello_2,오늘은 어떤 일이 있을까요?!,0.0,0.0,What kind of things will happen today?!,0.0,0.0,今日はどんなことがあるのでしょうか!?,0.0,0.0,今天會發生什麼事呢？！,0.0,0.0,今天会发生什么事呢？ ！,0.0,0.0,47,39016
49,1002,0,1,1,8,Kokomi/Voice_KokomiBasic_MaidApp_1,뭔가 시키실 게 있나요?,0.0,0.0,Is there anything you need?,0.0,0.0,何かご用命ですか？,0.0,0.0,有什麼想吩咐我的嗎？,0.0,0.0,有什么想吩咐我的吗？,0.0,0.0,48,39340
50,1002,0,14,8,8,Kokomi/Voice_KokomiBasic_MaidApp_2,뭐든 시켜만 주세요!,0.0,0.0,Just ask me for anything!,0.0,0.0,なんでも任せてください！,0.0,0.0,儘管吩咐我吧！,0.0,0.0,尽管吩咐我吧！,0.0,0.0,49,39616
51,1002,0,14,2,8,Kokomi/Voice_KokomiBasic_MaidApp_3,마스터의 손은 기분 좋네요-,0.0,0.0,"Your hands feel nice, Master-",0.0,0.0,マスターの手は、気持ちいいですねー,0.0,0.0,大師的手……好溫暖好舒服喔……,0.0,0.0,大师的手……好温暖好舒服喔……,0.0,0.0,50,39880
52,1002,0,14,7,8,Kokomi/Voice_KokomiBasic_MaidApp_4,계속 만지시면 저도 부끄러워요…!,0.0,0.0,"If you keep touching me, I'll get embarrassed…!",0.0,0.0,ずっと触られると、私も恥ずかしいです…！,0.0,0.0,一直摸的話我會害羞啦……！,0.0,0.0,一直摸的话我会害羞啦……！,0.0,0.0,51,40224
53,1002,0,1,1,8,Kokomi/Voice_KokomiBasic_MaidApp_5,저한테 뭔가 묻었나요?\n마스터가 떼주세요!,0.0,0.0,"Is something on me? Please, Master, get it off!",0.0,0.0,私に何かついてますか？マスターが取ってください！,0.0,0.0,我沾到什麼東西了嗎？大師幫我拿掉！,0.0,0.0,我沾到什么东西了吗？大师帮我拿掉！,0.0,0.0,52,40588
54,1002,0,14,4,8,Kokomi/Voice_KokomiBasic_MaidApp_6,머리카락을\n만져보고 싶다구요?,0.0,0.0,You want to touch my hair?,0.0,0.0,髪の毛を触ってみたいんですか？,0.0,0.0,想摸摸我的頭髮？,0.0,0.0,想摸摸我的头发？,0.0,0.0,53,40996
55,1002,0,14,2,9,Kokomi/Voice_Kokomi_Hello_3,"어서 오세요, 마스터!\n오늘의 보상은 뭘까요?!",0.0,0.0,"Welcome, Master! What’s today’s reward?!",0.0,0.0,いらっしゃいませ、マスター！今日の報酬は何かな!?,0.0,0.0,歡迎光臨，大師！今天的獎勵是什麼呢？！,0.0,0.0,欢迎光临，大师！今天的奖励是什么呢？ ！,0.0,0.0,54,41288
56,1002,0,14,2,18,Kokomi/Voice_Kokomi_Hello_4,연속 출석! 오늘도 카페를 잘 부탁드려요!,0.0,0.0,"Consecutive login! Please take good care of the cafe today, too!",0.0,0.0,連続ログイン！今日もカフェをよろしくお願いいたします！,0.0,0.0,連續簽到！今天咖啡廳也麻煩你了！,0.0,0.0,连续签到！今天咖啡厅也麻烦你了！,0.0,0.0,55,41704
57,1002,0,14,8,10,Kokomi/Voice_Kokomi_Hello_5,근사하네요!\n오늘도 힘내서 가보자구요!,0.0,0.0,"Looks great! Let’s do our best today, too!",0.0,0.0,素敵ですね！今日も頑張っていきましょう！,0.0,0.0,真不錯呢！今天也好好加油！,0.0,0.0,真不错呢！今天也好好加油！,0.0,0.0,56,42120
58,1002,0,14,8,10,Kokomi/Voice_Kokomi_Hello_6,우와-카페 운영에 도움이\n될 것 같아요!,0.0,0.0,Wow–this looks like it’ll really help with running the cafe!,0.0,0.0,わあーカフェの運営の役に立ちそうですね！,0.0,0.0,哇-好像對經營咖啡廳有幫助耶！,0.0,0.0,哇-好像对经营咖啡厅有帮助耶！,0.0,0.0,57,42476
59,1002,0,0,0,11,Kokomi/Voice_Kokomi_Dormitory_1,네? 제가 궁금하다구요?,0.0,0.0,What? I'm curious?,0.0,0.0,え？私のことが気になるんですか？,0.0,0.0,咦？你對我有興趣嗎？,0.0,0.0,咦？你对我有兴趣吗？,0.0,0.0,58,42860
60,1002,0,0,0,12,Kokomi/Voice_Kokomi_Dormitory_2,음…어떻게 할까요-?,0.0,0.0,Hmm…how do we do that -?,0.0,0.0,うん…どうしようかなー？,0.0,0.0,嗯……該怎麼辦呢？,0.0,0.0,嗯……该怎么办呢？,0.0,0.0,59,43144
61,1002,0,0,0,13,Kokomi/Voice_Kokomi_Dormitory_3,좋아요! 마스터한테만 특별히 알려 드릴게요!,0.0,0.0,"Great, we've got something special for masters only!",0.0,0.0,いいですよ！マスターにだけ特別に、教えてあげますね！,0.0,0.0,好！我只告訴大師一個人喔！,0.0,0.0,好！我只告诉大师一个人喔！,0.0,0.0,60,43412
62,1002,0,0,0,14,Kokomi/Voice_Kokomi_DormitoryOpen_1,드디어 「코코미의 러블리 핑크 방」이 생기는 순간이에요!,0.0,0.0,"It’s finally time for "" Kokomi’s Lovely Pink Room ” to be created!",0.0,0.0,いよいよ『ココミのラブリーピンクの部屋』ができる瞬間ですよ！,0.0,0.0,終於「心海的甜美粉紅小屋」要誕生了！,0.0,0.0,终于「心海的甜美粉红小屋」要诞生了！,0.0,0.0,61,43804
63,1002,1002101,0,0,5,,마스터-잠시 여기\n좀 봐주세요-!,0.0,0.0,"Master, could you come over here for a second?",0.0,0.0,マスター、ちょっとここを見てください！,0.0,0.0,大師——請稍微看一下這裡——！,0.0,0.0,大师——请稍微看一下这里——！,0.0,0.0,62,44284
64,1002,1002101,14,0,17,Kokomi/Voice_KokomiCasual_MaidApp_2,아쿠랑 가지 않았던 곳을 가볼까요? 마스터는 특별하니까!,0.0,0.0,"Should we go somewhere I haven’t been with Aku? You’re special, Master!",0.0,0.0,アクと行かなかった場所に行ってみましょうか？マスターは特別ですから！,0.0,0.0,要不要一起去一個我跟阿久沒去過的地方呢？特別招待大師喔！,0.0,0.0,要不要一起去一个我跟阿久没去过的地方呢？特别招待大师喔！,0.0,0.0,63,44620
65,1002,1002101,0,0,0,Kokomi/Voice_Kokomi_Effect_4,"다녀오세요, 주인님!",0.0,0.0,"Come back soon, Guest!",0.0,0.0,いってらっしゃいませ、ご主人様！,0.0,0.0,請慢用！,0.0,0.0,请慢用！,0.0,0.0,64,45172
66,1002,1002101,0,0,16,Kokomi/Voice_KokomiBasic_Complete_1,맛있게 드세요!,0.0,0.0,Enjoy your meal!,0.0,0.0,お召し上がりください！,0.0,0.0,這是我們咖啡廳的特色菜單！,0.0,0.0,这是我们咖啡厅的特色菜单！,0.0,0.0,65,45412
67,1002,1002101,0,0,16,Kokomi/Voice_KokomiBasic_Complete_2,코코미만의 특별한 메뉴가 나왔어요!,0.0,0.0,Kokomi's very own special menu is out!,0.0,0.0,ココミだけの特別なメニューが出ましたよ！,0.0,0.0,天氣很暖和讓人心情很好呢-,0.0,0.0,天气很暖和让人心情很好呢-,0.0,0.0,66,45688
68,1002,1002101,0,0,6,Kokomi/Voice_KokomiBasic_In_1,날씨가 따뜻해서\n기분이 좋네요-,0.0,0.0,The weather is warm today. so I'm feeling great!,0.0,0.0,天気がよくて気分がいいですねー。,0.0,0.0,啦啦-♬把咖啡廳-打掃乾淨-♬,0.0,0.0,啦啦-♬把咖啡厅-打扫干净-♬,0.0,0.0,67,46044
69,1002,1002101,0,0,6,Kokomi/Voice_KokomiBasic_In_2,흠흥-♬\n카페를-깨끗이-♬,0.0,0.0,Hmm-hmm-♬ Cleaning the cafe-♬,0.0,0.0,ふんふんー♬ カフェをーきれいにー♬,0.0,0.0,休息一下再繼續工作吧！,0.0,0.0,休息一下再继续工作吧！,0.0,0.0,68,46384
70,1002,1002101,0,0,6,Kokomi/Voice_Kokomi_Effect_4,일도 쉬엄쉬엄 해요-,0.0,0.0,Take it easy while you work!,0.0,0.0,お仕事も休みながらしましょうー。,0.0,0.0,又熱……又冰……？,0.0,0.0,又热……又冰……？,0.0,0.0,69,46700
71,1002,1002101,0,0,6,Kokomi/Voice_Kokomi_Effect_3_2,따뜻한데…아이스…?,0.0,0.0,It's warm… but you're getting iced…?,0.0,0.0,温かいのに…アイス…？,0.0,0.0,請問要點餐了嗎？,0.0,0.0,请问要点餐了吗？,0.0,0.0,70,46976
72,1002,1002101,0,0,6,Kokomi/Voice_Kokomi_Effect_4,주문받겠습니다!,0.0,0.0,I'll take your order!,0.0,0.0,ご注文を承りますね！,0.0,0.0,這次的菜單……,0.0,0.0,这次的菜单……,0.0,0.0,71,47248
73,1002,1002101,0,0,6,Kokomi/Voice_Kokomi_Effect_4,이번 메뉴는-,0.0,0.0,Here’s today's special menu!,0.0,0.0,今回のメニューはー,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,72,47492
74,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_In_1,날씨가 따뜻해서\n기분이 좋네요-,0.0,0.0,The weather is warm today. so I'm feeling great!,0.0,0.0,天気がよくて気分がいいですねー。,0.0,0.0,啦啦-♬把咖啡廳-打掃乾淨-♬,0.0,0.0,啦啦-♬把咖啡厅-打扫干净-♬,0.0,0.0,73,47736
75,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_In_2,흠흥-♬\n카페를-깨끗이-♬,0.0,0.0,Hmm-hmm-♬ Cleaning the cafe-♬,0.0,0.0,ふんふんー♬ カフェをーきれいにー♬,0.0,0.0,休息一下再繼續工作吧！,0.0,0.0,休息一下再继续工作吧！,0.0,0.0,74,48076
76,1002,1002101,0,0,7,Kokomi/Voice_Kokomi_Effect_4,일도 쉬엄쉬엄 해요-,0.0,0.0,Take it easy while you work!,0.0,0.0,お仕事も休みながらしましょうー。,0.0,0.0,又熱……又冰……？,0.0,0.0,又热……又冰……？,0.0,0.0,75,48392
77,1002,1002101,0,0,7,Kokomi/Voice_Kokomi_Effect_3_2,따뜻한데…아이스…?,0.0,0.0,It's warm… but you're getting iced…?,0.0,0.0,温かいのに…アイス…？,0.0,0.0,請問要點餐了嗎？,0.0,0.0,请问要点餐了吗？,0.0,0.0,76,48668
78,1002,1002101,0,0,7,Kokomi/Voice_Kokomi_Effect_4,주문받겠습니다!,0.0,0.0,I'll take your order!,0.0,0.0,ご注文を承りますね！,0.0,0.0,這次的菜單……,0.0,0.0,这次的菜单……,0.0,0.0,77,48940
79,1002,1002101,0,0,7,Kokomi/Voice_Kokomi_Effect_4,이번 메뉴는-,0.0,0.0,Here’s today's special menu!,0.0,0.0,今回のメニューはー,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,78,49184
80,1002,1002101,0,0,7,Kokomi/Voice_Kokomi_Effect_4,계산해 드릴까요?,0.0,0.0,Shall I get the bill for you?,0.0,0.0,お会計ですか？,0.0,0.0,要幫您結帳嗎？,0.0,0.0,要帮您结帐吗？,0.0,0.0,79,49428
81,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_4,언제나 최고의\n서비스를\n제공하겠어요!,0.0,0.0,We’ll always provide the best service!,0.0,0.0,いつでも最高のサービスを提供します！,0.0,0.0,我會隨時提供最棒的服務！,0.0,0.0,我会随时提供最棒的服务！,0.0,0.0,80,49672
82,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_5,청소 힘들어…힝…….,0.0,0.0,Cleaning is so hard… Hmph…,0.0,0.0,掃除が大変…ううっ……。,0.0,0.0,打掃好累喔……嗚……,0.0,0.0,打扫好累喔……呜……,0.0,0.0,81,50016
83,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_1,메이드는 귀여움이 생명!,0.0,0.0,Being cute is a maid’s lifeline!,0.0,0.0,メイドは可愛さが命！,0.0,0.0,可愛對女僕來說就是生命！,0.0,0.0,可爱对女仆来说就是生命！,0.0,0.0,82,50300
84,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_2,맛있어져라-♪\n맛있어져라-♪,0.0,0.0,Tastes better-♪ Tastes better-♪,0.0,0.0,美味しくなれー♪ 美味しくなれー♪,0.0,0.0,變好吃吧-♪變好吃吧-♪,0.0,0.0,变好吃吧-♪变好吃吧-♪,0.0,0.0,83,50596
85,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_6,언제나 웃는 얼굴로!,0.0,0.0,Always with a smile!,0.0,0.0,いつでも笑顔で！,0.0,0.0,總是面帶微笑！,0.0,0.0,总是面带微笑！,0.0,0.0,84,50908
86,1002,1002101,0,0,7,Kokomi/Voice_KokomiBasic_Out_3,저도 잘할 수 있어요!,0.0,0.0,I can do it well too!,0.0,0.0,私も上手にできますよ！,0.0,0.0,我也能做得很好！,0.0,0.0,我也能做得很好！,0.0,0.0,85,51148
